"Var1";"Freq"
"(0,5]";330400
"(5,10]";1296
"(10,15]";911
"(15,20]";663
"(20,25]";511
"(25,30]";375
"(30,35]";301
"(35,40]";293
"(40,45]";248
"(45,50]";225
"(50,55]";193
"(55,60]";169
"(60,65]";137
"(65,70]";139
"(70,75]";117
"(75,80]";117
"(80,85]";111
"(85,90]";84
"(90,95]";68
"(95,100]";64
"(100,105]";76
"(105,110]";82
"(110,115]";62
"(115,120]";68
"(120,125]";60
"(125,130]";60
"(130,135]";58
"(135,140]";50
"(140,145]";50
"(145,150]";32
"(150,155]";40
"(155,160]";31
"(160,165]";22
"(165,170]";46
"(170,175]";33
"(175,180]";27
"(180,185]";37
"(185,190]";31
"(190,195]";31
"(195,200]";15
"(200,205]";23
"(205,210]";17
"(210,215]";22
"(215,220]";27
"(220,225]";16
"(225,230]";19
"(230,235]";12
"(235,240]";12
"(240,245]";14
"(245,250]";10
"(250,255]";14
"(255,260]";12
"(260,265]";12
"(265,270]";6
"(270,275]";13
"(275,280]";7
"(280,285]";7
"(285,290]";5
"(290,295]";9
"(295,300]";6
"(300,305]";4
"(305,310]";8
"(310,315]";4
"(315,320]";6
"(320,325]";5
"(325,330]";1
"(330,335]";6
"(335,340]";2
"(340,345]";3
"(345,350]";3
"(350,355]";4
"(355,360]";5
"(360,365]";3
"(365,370]";4
"(370,375]";3
"(375,380]";1
"(380,385]";6
"(385,390]";2
"(390,395]";2
"(395,400]";1
"(400,405]";4
"(405,410]";2
"(410,415]";1
"(415,420]";2
"(420,425]";4
"(425,430]";6
"(430,435]";2
"(435,440]";1
"(440,445]";3
"(445,450]";3
"(450,455]";2
"(455,460]";4
"(460,465]";0
"(465,470]";1
"(470,475]";1
"(475,480]";2
"(480,485]";0
"(485,490]";0
"(490,495]";1
"(495,500]";0
"(500,505]";1
"(505,510]";3
"(510,515]";1
"(515,520]";0
"(520,525]";2
"(525,530]";3
"(530,535]";0
"(535,540]";4
"(540,545]";1
"(545,550]";0
"(550,555]";0
"(555,560]";1
"(560,565]";1
"(565,570]";0
"(570,575]";1
"(575,580]";1
"(580,585]";0
"(585,590]";1
"(590,595]";2
"(595,600]";0
"(600,605]";0
"(605,610]";0
"(610,615]";0
"(615,620]";1
"(620,625]";0
"(625,630]";1
"(630,635]";0
"(635,640]";0
"(640,645]";1
"(645,650]";0
"(650,655]";0
"(655,660]";1
"(660,665]";0
"(665,670]";1
"(670,675]";0
"(675,680]";0
"(680,685]";0
"(685,690]";0
"(690,695]";0
"(695,700]";0
"(700,705]";1
"(705,710]";0
"(710,715]";0
"(715,720]";0
"(720,725]";0
"(725,730]";0
"(730,735]";0
"(735,740]";0
"(740,745]";0
"(745,750]";1
"(750,755]";0
"(755,760]";0
"(760,765]";0
"(765,770]";0
"(770,775]";0
"(775,780]";0
"(780,785]";0
"(785,790]";0
"(790,795]";0
"(795,800]";0
"(800,805]";0
"(805,810]";1
"(810,815]";0
"(815,820]";0
"(820,825]";1
"(825,830]";0
"(830,835]";1
"(835,840]";0
"(840,845]";1
"(845,850]";1
"(850,855]";0
"(855,860]";0
"(860,865]";0
"(865,870]";0
"(870,875]";0
"(875,880]";0
"(880,885]";0
"(885,890]";0
"(890,895]";1
"(895,900]";0
"(900,905]";0
"(905,910]";1
"(910,915]";0
"(915,920]";0
"(920,925]";0
"(925,930]";0
"(930,935]";0
"(935,940]";0
"(940,945]";0
"(945,950]";0
"(950,955]";0
"(955,960]";0
"(960,965]";0
"(965,970]";1
"(970,975]";0
"(975,980]";0
"(980,985]";0
"(985,990]";0
"(990,995]";0
"(995,1000]";0
"(1000,1005]";0
"(1005,1010]";0
"(1010,1015]";0
"(1015,1020]";0
"(1020,1025]";0
"(1025,1030]";0
"(1030,1035]";0
"(1035,1040]";0
"(1040,1045]";0
"(1045,1050]";0
"(1050,1055]";0
"(1055,1060]";0
"(1060,1065]";0
"(1065,1070]";0
"(1070,1075]";0
"(1075,1080]";0
"(1080,1085]";0
"(1085,1090]";0
"(1090,1095]";0
"(1095,1100]";0
"(1100,1105]";0
"(1105,1110]";1
"(1110,1115]";0
"(1115,1120]";0
"(1120,1125]";0
"(1125,1130]";0
"(1130,1135]";0
"(1135,1140]";0
"(1140,1145]";0
"(1145,1150]";0
"(1150,1155]";0
"(1155,1160]";0
"(1160,1165]";0
"(1165,1170]";0
"(1170,1175]";0
"(1175,1180]";0
"(1180,1185]";0
"(1185,1190]";0
"(1190,1195]";0
"(1195,1200]";0
"(1200,1205]";0
"(1205,1210]";0
"(1210,1215]";0
"(1215,1220]";0
"(1220,1225]";0
"(1225,1230]";0
"(1230,1235]";0
"(1235,1240]";0
"(1240,1245]";0
"(1245,1250]";0
"(1250,1255]";0
"(1255,1260]";0
"(1260,1265]";0
"(1265,1270]";0
"(1270,1275]";0
"(1275,1280]";0
"(1280,1285]";0
"(1285,1290]";0
"(1290,1295]";0
"(1295,1300]";0
"(1300,1305]";0
"(1305,1310]";0
"(1310,1315]";0
"(1315,1320]";0
"(1320,1325]";0
"(1325,1330]";0
"(1330,1335]";0
"(1335,1340]";0
"(1340,1345]";0
"(1345,1350]";0
"(1350,1355]";0
"(1355,1360]";0
"(1360,1365]";0
"(1365,1370]";0
"(1370,1375]";0
