"product","condition","ppr"
".ALPHA.-TOCOPHEROL","Asthenia",1.61923351098136
".ALPHA.-TOCOPHEROL","Chronic kidney disease",1.2005663610385
".ALPHA.-TOCOPHEROL","Diarrhoea",1.3224373712412
".ALPHA.-TOCOPHEROL","Drug ineffective",0.629839333268964
".ALPHA.-TOCOPHEROL","Fall",1.75985678458572
".ALPHA.-TOCOPHEROL","Fatigue",1.29887496092949
".ALPHA.-TOCOPHEROL","Headache",1.59278235769884
".ALPHA.-TOCOPHEROL","Insomnia",2.26521986893342
".ALPHA.-TOCOPHEROL","Malaise",1.0684750470388
".ALPHA.-TOCOPHEROL","Nausea",1.05249477955882
".ALPHA.-TOCOPHEROL","Off label use",0.900982938557316
".ALPHA.-TOCOPHEROL","Pain",1.22924342895374
".ALPHA.-TOCOPHEROL","Vomiting",1.23781444620833
".ALPHA.-TOCOPHEROL","Weight decreased",1.69489828363601
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Arthralgia",1.65538994017359
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Chills",9.63741618855019
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Cough",3.3855568030769
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Diarrhoea",2.09688684332027
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Dizziness",3.25625336324344
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Dyspnoea",3.55299663125999
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Fatigue",2.3037899383176
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Headache",4.58138862755001
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Influenza like illness",14.5510057107801
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Intentional overdose",41.6061682516081
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Malaise",2.18833134130992
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Nausea",2.29364344510788
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","No adverse event",73.1260674692093
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Off label use",0.991343976093279
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Pneumonia",1.65259288592379
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Prescribed overdose",45.0848296699958
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Pruritus",2.88189504183602
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Pyrexia",2.52530792463779
".ALPHA.1-PROTEINASE INHIBITOR HUMAN","Rash",1.99247455414083
"(1-743)-(1638-2332)-BLOOD-COAGULATION FACTOR VIII (SYNTHETIC HUMAN) FUSION PROTEIN WITH IMMUNOGLOBULIN G1 (SYNTHETIC HUMAN FC DOMAIN FRAGMENT), (1444-6'),(1447-9')-BIS(DISULFIDE) WITH IMMUNOGLOBULIN G1 (SYNTHETIC HUMAN FC DOMAIN FRAGMENT)","Haemarthrosis",1806.66494454451
"ABACAVIR","Foetal exposure during pregnancy",30.3277690999307
"ABACAVIR SULFATE\LAMIVUDINE","Foetal exposure during pregnancy",41.7115716053384
"ABALOPARATIDE","Abdominal pain upper",2.51574298860921
"ABALOPARATIDE","Alopecia",1.99880587285394
"ABALOPARATIDE","Arthralgia",2.31450012381957
"ABALOPARATIDE","Asthenia",1.52785797725891
"ABALOPARATIDE","Back pain",4.53416405763811
"ABALOPARATIDE","Bone pain",20.0497409302547
"ABALOPARATIDE","Dizziness",5.0595300304785
"ABALOPARATIDE","Fall",1.32750264111719
"ABALOPARATIDE","Fatigue",2.21870932603739
"ABALOPARATIDE","Feeling abnormal",4.27840810753895
"ABALOPARATIDE","Headache",4.86391312820065
"ABALOPARATIDE","Heart rate increased",10.8186240496312
"ABALOPARATIDE","Inappropriate schedule of product administration",2.62339311299042
"ABALOPARATIDE","Injection site bruising",25.7455044628064
"ABALOPARATIDE","Injection site pain",5.74624620353196
"ABALOPARATIDE","Intentional dose omission",82.8269840094149
"ABALOPARATIDE","Malaise",1.27235396139831
"ABALOPARATIDE","Muscle spasms",4.13360607561255
"ABALOPARATIDE","Myalgia",4.12771535803437
"ABALOPARATIDE","Nausea",3.83267343096335
"ABALOPARATIDE","Off label use",1.33349468707474
"ABALOPARATIDE","Pain",1.58430457590154
"ABALOPARATIDE","Pain in extremity",2.92143266535951
"ABALOPARATIDE","Palpitations",14.6828220511488
"ABALOPARATIDE","Product dose omission",6.57211064600084
"ABALOPARATIDE","Product quality issue",42.3714553428947
"ABALOPARATIDE","Vomiting",1.36763627693573
"ABALOPARATIDE","Wrong technique in product usage process",11.7379180898783
"ABATACEPT","Abdominal discomfort",1.90024448908609
