"var1";"var2";"N";"E";"PRR";"QUANT_05";"ebgm";"QUANT_95"
"NATPARA PARATHYROID HORMONE";"RECALLED PRODUCT";182;0,1036698;11734,72;1248,92;1413,28;1594,27
"CYTOTEC";"FOETAL EXPOSURE DURING DELIVERY";97;0,05980097;12853,59;962,54;1141,26;1345,24
"BUPIVACAINE HYDROCHLORIDE WITH DEXTROSE";"ANAESTHETIC COMPLICATION";33;0,004179638;21606,79;834,73;1123,27;1485,51
"PERCODAN";"DRUG WITHDRAWAL SYNDROME NEONATAL";93;0,07048902;2557,81;816,08;971,2;1148,74
"LAMIVUDINE";"VIRAL MUTATION IDENTIFIED";122;0,1181291;4434,82;730,79;850,34;984,85
"CYTOTEC";"FOETAL HEART RATE DECREASED";55;0,03609608;8502,8;713,15;895,64;1113,21
"CYTOTEC";"UTERINE TACHYSYSTOLE";46;0,02639863;28445,74;692,83;889,5;1127,88
"LAMIVUDINE";"VIROLOGIC FAILURE";133;0,1448753;2885,21;675,68;781,11;899,13
"MYOVIEW";"RADIOISOTOPE SCAN ABNORMAL";27;0,004097088;19297,5;660,55;918,53;1250,4
"HEPARIN SODIUM";"HEPARININDUCED THROMBOCYTOPENIA";32;0,01280177;4549,83;620,32;838,77;1113,98
"CLOZAPINE TABLET";"NEUTROPHILIA";61;0,0549001;1483,18;611,97;759,53;933,9
"INVOKANA";"DIABETIC FOOT INFECTION";61;0,0549001;7267,17;611,97;759,53;933,9
"HAEGARDA";"HEREDITARY ANGIOEDEMA";147;0,1938839;1306,49;583,8;670,06;766,08
"ASMANEX";"POOR QUALITY DEVICE USED";149;0,2044069;1023,67;565,13;648,02;740,22
"PROVENTIL";"POOR QUALITY DEVICE USED";186;0,2695475;1077,24;557,76;630,3;710,11
"OXBRYTA";"SICKLE CELL ANAEMIA WITH CRISIS";60;0,0622123;1802,21;550,24;684,17;842,66
"DELFLEX WITH DEXTROSE 15 LOW MAGNESIUM LOW CALCIUM";"PERITONITIS BACTERIAL";32;0,01772653;2707,31;548,41;741,53;984,85
"SALBUTAMOL SULPHATE";"SLEEP DISORDER DUE TO A GENERAL MEDICAL CONDITION";113;0,15174;1340,71;544,5;637,41;742,43
"XIAFLEX";"DUPUYTRENS CONTRACTURE";36;0,02469549;4079,92;540,56;717,91;938,4
"DAPAGLIFLOZIN";"EUGLYCAEMIC DIABETIC KETOACIDOSIS";57;0,05978793;1199;534,35;668,31;827,51
"IMFINZI";"RADIATION PNEUMONITIS";91;0,1178814;2331,02;532,1;634,48;751,83
"INVOKANA";"TOE AMPUTATION";92;0,1204752;1826,72;528,9;630,04;745,88
"ZYPADHERA";"POSTINJECTION DELIRIUM SEDATION SYNDROME";21;0,002089819;52249,14;524,2;763,73;1082,6
"PLAN B ONESTEP";"MENSTRUATION DELAYED";59;0,06664827;1620,04;513,76;640,03;789,65
"RANITIDINE TABLETS USP 150 MG";"RECALLED PRODUCT ADMINISTERED";27;0,01284956;2500,58;506,8;704,75;959,37
"DULERA";"POOR QUALITY DEVICE USED";115;0,1729597;854,82;495,4;579,12;673,64
"LIDOCAINE PATCH";"PRODUCT ADHESION ISSUE";115;0,1776911;809,8;483,82;565,58;657,9
"RUCONEST";"HEREDITARY ANGIOEDEMA";87;0,124694;928,18;483,42;578,8;688,46
"KYMRIAH";"BCELL TYPE ACUTE LEUKAEMIA";45;0,04681889;15363,41;482,9;621,75;790,41
"VELETRI";"CATHETER SITE PRURITUS";59;0,07681496;2508,76;462,33;575,97;710,61
"VELETRI";"CATHETER MANAGEMENT";84;0,1256151;1688,48;462,29;555,3;662,51
"ADVATE";"HAEMARTHROSIS";100;0,159197700764891;868,44;457,4;540,9;636,02
"BUPRENORPHINE";"ORAL ADMINISTRATION COMPLICATION";33;0,02836027;20346,49;454,72;611,9;809,23
"VELETRI";"CATHETER SITE ERYTHEMA";83;0,131941;1456,53;437,82;526,5;628,81
"PRILOSEC OTC";"HYPERCHLORHYDRIA";81;0,1292864;890,41;433,56;522,59;625,48
"NIRAPARIB";"CARBOHYDRATE ANTIGEN 125 INCREASED";66;0,09803031;1705,1;433,51;533,46;650,78
"DILANTIN";"CEREBELLAR ATROPHY";23;0,01159176;9586,31;432,49;619,09;864,31
"KYMRIAH";"HYPOGAMMAGLOBULINAEMIA";138;0,2614055;1087,26;416,77;480,5;551,7
"INVOKANA";"LEG AMPUTATION";59;0,08845017;1356,45;414,82;516,77;637,57
"TAKHZYRO";"HEREDITARY ANGIOEDEMA";47;0,06310731;860,13;413,37;529,25;669,41
"ABILIFY";"GAMBLING DISORDER";28;0,0235332709139373;2001,67;412,12;569,53;771,08
"YESCARTA";"CYTOKINE RELEASE SYNDROME";111;0,205328;682,2;409,67;480,26;560,14
"LAMIVUDINE";"PATHOGEN RESISTANCE";130;0,2503742;844,68;406,47;470,69;542,67
"INVOKANA";"GANGRENE";72;0,1204752;1097,14;403,73;492,33;595,62
"EPIRUBICIN";"CARDIAC DYSFUNCTION";29;0,02700689;1297,62;400,8;550,63;741,64
"ABILIFY";"COMPULSIVE SHOPPING";23;0,0146656615840479;3370,67;398,76;570,81;796,91
"SPRAVATO";"DISSOCIATION";77;0,1364986;993,41;391,66;474,41;570,4
"KCENTRA";"PRODUCT PREPARATION ISSUE";25;0,02001403;1388,42;388,26;547,29;753,93
"BEOVU";"VITRITIS";38;0,04862847;2525,94;387,83;511,03;663,31
"ZOSTAVAX";"VACCINATION FAILURE";16;0,001199148;40026,43;386,68;597,31;889,93
"SOMAVERT";"INSULINLIKE GROWTH FACTOR INCREASED";25;0,02035944;1894,74;385,29;543,1;748,15
"CLOZAPINE ACCORD";"NEUTROPHILIA";42;0,0585953;866,35;383,18;497,91;638,24
"IMPLANON NXT";"PREGNANCY WITH IMPLANT CONTRACEPTIVE";23;0,01705309;1580,06;375,99;538,22;751,41
"OMNISCAN";"URINE ANALYSIS ABNORMAL";18;0,006212975;3463,8;375,69;565,18;823,41
"GOLD BOND ORIGINAL STRENGTH POWDER";"EXPOSURE TO CHEMICAL POLLUTION";16;0,001961649;34253,69;375,64;580,26;864,52
"HALOPERIDOL";"EMBOLISM VENOUS";41;0,05805438;837,07;375,16;489,09;628,79
"ANTITHYMOCYTE GLOBULIN RABBIT NOS";"HEART TRANSPLANT REJECTION";18;0,006395454;3915,43;373,49;561,87;818,59
"XIAFLEX";"FRACTURE OF PENIS";19;0,008819817;43065,79;370,57;551,08;794,99
"LUCENTIS";"CHOROIDAL NEOVASCULARISATION";27;0,0268092;2704,94;369,6;513,95;699,65
"ELIGARD";"INTERCEPTED PRODUCT PREPARATION ERROR";244;0,5692866;3103,89;368,47;409,9;454,94
"DOLUTEGRAVIR";"BIRTH MARK";18;0,007305676;46794,92;362,88;545,92;795,35
"CLARAVIS";"UNINTENDED PREGNANCY";41;0,06182996;820,02;358,79;467,76;601,37
"KYMRIAH";"CYTOKINE RELEASE SYNDROME";217;0,5208602;701,13;354,37;396,8;443,14
"YESCARTA";"CAR TCELLRELATED ENCEPHALOPATHY SYNDROME";19;0,01038175;6174,33;354,1;526,58;759,66
"TAXOTERE";"PSYCHOLOGICAL TRAUMA";492;1,265513;2005,6;353,49;380,93;410,02
"CYTOTEC";"NEONATAL HYPOXIA";24;0,02208865;2619,05;353,28;501,71;695,62
"VIREAD";"SKELETAL INJURY";28;0,03172093;2058,3;352,37;486,96;659,29
"KYMRIAH";"MINIMAL RESIDUAL DISEASE";26;0,02828641;8876,64;343,48;480,79;658,28
"VELETRI";"CATHETER SITE DISCHARGE";37;0,05602974;1636,22;341,58;451,83;588,48
"LIPITOR";"TYPE 2 DIABETES MELLITUS";486;1,29446;843,26;341,35;368,02;396,31
"VELETRI";"CATHETER SITE IRRITATION";31;0,04157045;2284,81;338,4;459,87;613,5
"PRILOSEC OTC";"REBOUND EFFECT";82;0,1756968;598,85;337,71;406,58;486,11
"PARSABIV";"SHUNT STENOSIS";16;0,005018172;13388,13;337,08;520,69;775,77
"RISPERDAL";"GYNAECOMASTIA";779;2,153441;1513,47;336,82;357,41;378,97
"GOLD BOND ORIGINAL STRENGTH POWDER";"OCCUPATIONAL EXPOSURE TO PRODUCT";24;0,02466073;1070,43;334,89;475,59;659,41
"ATRIPLA";"ECONOMIC PROBLEM";319;0,850856;521,63;331,43;363,75;398,5
"VELETRI";"CATHETER SITE RASH";30;0,04066674;2211,11;330,07;450,94;604,4
"OSIMERTINIB";"ACQUIRED GENE MUTATION";17;0,008211554;2888,33;328,58;500,59;737,15
"IMPLANON NXT";"UNINTENDED PREGNANCY";23;0,02324435;1108,52;327,5;468,8;654,48
"AZTREONAM LYSINE";"CYSTIC FIBROSIS";117;0,2810176;714,47;326,37;381;442,62
"METHADONE HYDROCHLORIDE";"DRUG DIVERSION";57;0,1141797;654,39;325,16;406,67;503,55
"CLOZARIL";"DIFFERENTIAL WHITE BLOOD CELL COUNT ABNORMAL";67;0,1417558;3105,99;325,08;399,38;486,5
"ELOCTATE";"HAEMARTHROSIS";36;0,05803266;688,94;322,89;428,82;560,52
"PRAZAXA";"CARDIAC TAMPONADE";25;0,0291445;1128,93;322,49;454,58;626,21
"NICORETTE";"NICOTINE DEPENDENCE";24;0,02680051;1333,63;320,99;455,85;632,04
"NATPARA PARATHYROID HORMONE";"HYPOCALCAEMIA";102;0,2441569;523,51;319,72;377,45;443,12
"ABILIFY";"HOMELESS";16;0,00716229984337221;9379,26;314,44;485,72;723,66
"PREVACID";"HYPERTENSIVE NEPHROPATHY";46;0,08805697;3187,27;314,16;403,33;511,43
"INVOKANA";"DIABETIC FOOT";37;0,06328762;1054,08;313,42;414,59;539,97
"VIVITROL";"ALCOHOLISM";75;0,1720038;1130,24;311,78;378,64;456,35
"INVOKANA";"LIMB AMPUTATION";19;0,01525003;24898,99;311,01;462,5;667,21
"ZANTAC";"COLORECTAL CANCER";37;0,06400667;815,3;310,88;411,23;535,6
"RHOPRESSA";"CONJUNCTIVAL HYPERAEMIA";18;0,01321452;1777,4;306,41;460,96;671,57
"PLAN B ONESTEP";"PREGNANCY AFTER POST COITAL CONTRACEPTION";17;0,01076626;8285,54;304,95;464,58;684,13
"KOGENATE FS";"HAEMARTHROSIS";42;0,07999096;594,06;304,91;396,21;507,87
"INBRIJA";"PRODUCT RESIDUE PRESENT";101;0,254732;647,72;304,33;359,59;422,49
