"var1";"var2";"N";"E";"PRR";"QUANT_05";"ebgm";"QUANT_95"
"PARATHYROID HORMONE";"RECALLED PRODUCT";190;0,112504833615023;15050,7;1219,82;1376,67;1549,03
"MISOPROSTOL";"FOETAL EXPOSURE DURING DELIVERY";100;0,0648660273984506;15547,45;934,75;1105,4;1299,78
"ASPIRINOXYCODONE HYDROCHLORIDE";"DRUG WITHDRAWAL SYNDROME NEONATAL";93;0,0704904001147033;2557,76;812,72;967,2;1144,01
"MISOPROSTOL";"FOETAL HEART RATE DECREASED";58;0,0391533678891549;11021,41;716,44;894,25;1105,27
"LAMIVUDINE";"VIRAL MUTATION IDENTIFIED";122;0,125039646505242;4189,54;695,25;809;936,96
"MISOPROSTOL";"UTERINE TACHYSYSTOLE";46;0,0286345526353521;26223,36;658,98;846,03;1072,77
"TECHNETIUM TC99M TETROFOSMIN";"RADIOISOTOPE SCAN ABNORMAL";27;0,00409716761021728;19297,12;651,69;906,22;1233,64
"LAMIVUDINE";"VIROLOGIC FAILURE";134;0,153350509864919;2791,15;647,32;747,91;860,47
"HEPARIN SODIUM";"HEPARININDUCED THROMBOCYTOPENIA";49;0,033933063664684;4658,02;644,58;820,94;1033,41
"BUPIVACAINE HYDROCHLORIDE";"ANAESTHETIC COMPLICATION";34;0,0150243961782941;6535,63;622,59;833,96;1098,43
"OLANZAPINE PAMOATE";"POSTINJECTION DELIRIUM SEDATION SYNDROME";24;0,0027676519275805;112718,94;592,85;841,92;1167,33
"HUMAN C1ESTERASE INHIBITOR";"HEREDITARY ANGIOEDEMA";271;0,395378846797214;3033,23;581,42;643,24;710,14
"VOXELOTOR";"SICKLE CELL ANAEMIA WITH CRISIS";63;0,0636147185206748;1934,7;569,36;704,14;862,97
"CANAGLIFLOZIN";"DIABETIC FOOT INFECTION";61;0,0655373024735074;6086,75;537,54;667,16;820,31
"DURVALUMAB";"RADIATION PNEUMONITIS";96;0,135906047558427;2399,26;499,66;592,98;699,55
"COLLAGENASE CLOSTRIDIUM HISTOLYTICUM";"DUPUYTRENS CONTRACTURE";36;0,0288322420587507;3494,29;495,22;657,68;859,67
"FORMOTEROL FUMARATE DIHYDRATEMOMETASONE FUROATE";"POOR QUALITY DEVICE USED";115;0,172963038595058;854,8;494,41;577,96;672,3
"COAGULATION FACTOR IX HUMANCOAGULATION FACTOR VII HUMANCOAGULATION FACTOR X HUMANPROTEIN CPROTEIN S HUMANPROTHROMBIN";"PRODUCT PREPARATION ISSUE";41;0,0394879192210602;1242,76;480,64;626,61;805,59
"TISAGENLECLEUCEL";"BCELL TYPE ACUTE LEUKAEMIA";45;0,0507822852897345;14163,17;455,2;586,09;745,07
"CANAGLIFLOZIN";"TOE AMPUTATION";92;0,143817969316864;1530;454,6;541,54;641,11
"ANTIHEMOPHILIC FACTOR HUMAN RECOMBINANT";"HAEMARTHROSIS";187;0,341928840497221;1133,58;449,74;508,07;572,22
"RANIBIZUMAB";"CHOROIDAL NEOVASCULARISATION";35;0,0328816166215529;5716,91;445,81;594,56;780,06
"EPOPROSTENOL";"CATHETER MANAGEMENT";86;0,136186288609179;1654,54;442,16;529,96;631
"MOMETASONE FUROATE";"POOR QUALITY DEVICE USED";170;0,313355115376761;807,81;440,58;500,74;567,21
"DAPAGLIFLOZIN";"EUGLYCAEMIC DIABETIC KETOACIDOSIS";123;0,215603126534265;1022,41;437,57;508,83;588,96
"EPOPROSTENOL";"CATHETER SITE PRURITUS";59;0,0832793851207209;2313,85;433,1;539,54;665,68
